parameter,value
a0,331073.46709349257
a1,-5495909.047223253
a2,-19977190.337545473
a3,-674.3344600727124
a4,4388.798182103953
a5,-0.00613139079536145
a6,-160.0525549451072
a7,294.3002183621487
a8,-0.0003533386832066449
a9,-4.706389729105563
a10,-0.9716794054769712
a11,-1.3532514039780101
a12,-7.596200083540756
a13,0.00010787471970857147
a14,-0.3334336848823093
a15,1.5729341882361403
a16,682.5870800237376
a17,-315.6936879571293
