centerline_x,centerline_y,tangent_x,tangent_y,normal_x,normal_y,curvature,inner_x,inner_y,outer_x,outer_y
0.0,0.0,0.7071067811865475,0.7071067811865475,-0.7071067811865475,0.7071067811865475,0.0,3.5355339059327373,-3.5355339059327373,-3.5355339059327373,3.5355339059327373
0.6289433316067751,0.6289308919370529,0.7071277600955717,0.7070858016550889,-0.7070858016550889,0.7071277600955717,-6.671765124459988e-05,4.16437233988222,-2.906707908540805,-2.90648567666867,4.164569692414911
1.2578617838741057,1.2577622694687922,0.7071907013865466,0.7070228510256258,-0.7070228510256258,0.7071907013865466,-0.0001334814975391162,4.792976039002235,-2.278191237463941,-2.277252471254023,4.793715776401525
1.886730478446709,1.8863946339358588,0.7072956187492807,0.7069178931800156,-0.7069178931800156,0.7072956187492807,-0.00020033779265837964,5.421319944346787,-1.6500834598105445,-1.6478589874533691,5.422872727682262
2.515524538937585,2.5147285181683094,0.707442534993769,0.7067708678784024,-0.7067708678784024,0.707442534993769,-0.00026733290792634474,6.0493788783295965,-1.0224841568005352,-1.0183298004544272,6.051941193137154
3.1442190919120603,3.1426645022240973,0.707631482040601,0.7065816906947295,-0.7065816906947295,0.707631482040601,-0.0003345133912390114,6.677127545385709,-0.39549290797890757,-0.3886893615615876,6.680821912427103
3.772789267871718,3.7701032291200796,0.7078625009074079,0.706350252926344,-0.706350252926344,0.7078625009074079,-0.0004019260263857126,7.304540532503438,0.23079072458304006,0.24103800323999813,7.309415733657119
4.4012102022381665,4.396945420553062,0.7081356416912158,0.7060764214775691,-0.7060764214775691,0.7081356416912158,-0.0004696178927687828,7.931592309626012,0.8562672120969834,0.8708280948503209,7.937623629009141
5.029457036336618,5.023091892608397,0.7084509635465477,0.7057600387171039,-0.7057600387171039,0.7084509635465477,-0.0005376364256220927,8.558257229922138,1.4808370748756587,1.5006568427510985,8.565346710341135
5.657504918379234,5.648443571453641,0.7088085346590648,0.7054009223090579,-0.7054009223090579,0.7088085346590648,-0.0006060294768295196,9.184509529924524,2.104400898158317,2.1305003068339445,9.192486244748965
6.285329004448194,6.272901509014801,0.709208432214509,0.7049988650174114,-0.7049988650174114,0.709208432214509,-0.0006748453764451152,9.810323329535251,2.726859347942256,2.760334679361137,9.818943670087346
6.9129044594784546,6.89636689863268,0.7096507423626647,0.7045536344836487,-0.7045536344836487,0.7096507423626647,-0.0007441329950175265,10.435672631896697,3.3481131868193565,3.390136287060211,10.444620610446004
7.540206458240159,7.518741090696835,0.7101355601760119,0.7040649729772825,-0.7040649729772825,0.7101355601760119,-0.0008139418068221036,11.060531323126572,3.968063289816776,4.019881593353746,11.069418891576895
8.167210186320663,8.139925608254714,0.7106629896027084,0.7035325971189542,-0.7035325971189542,0.7106629896027084,-0.0008843219541051202,11.684873171915434,4.586610660241172,4.649547200725891,11.693240556268256
8.793890841106125,8.759822162593448,0.7112331434134849,0.7029561975757618,-0.7029561975757618,0.7112331434134849,-0.0009553243124455537,12.308671828984934,5.203656445526024,5.2791098532273155,12.315987879660872
9.420223632762625,9.378332668791856,0.7118461431419967,0.7023354387284356,-0.7023354387284356,0.7118461431419967,-0.0010270005573410177,12.931900826404803,5.819101953081873,5.908546439120446,12.93756338450184
10.046183785216794,9.995359261240228,0.7125021190181225,0.7016699583099488,-0.7016699583099488,0.7125021190181225,-0.0010994032321255862,13.554533576766538,6.432848666149615,6.53783399366705,13.557869856330841
10.671746537135888,10.610804309125392,0.7132012098936508,0.7009593670151163,-0.7009593670151163,0.7132012098936508,-0.0011725858173284656,14.17654337221147,7.044798259657139,7.1669497020603075,14.176810358593645
11.296887142907282,11.224570431878629,0.7139435631597395,0.7002032480807091,-0.7002032480807091,0.7139435631597395,-0.0012466028015836825,14.797903383310828,7.654852616079931,7.7958709025037365,14.794288247677326
11.921580873617335,11.836560514583987,0.7147293346554797,0.6994011568355711,-0.6994011568355711,0.7147293346554797,-0.0013215097542022057,15.418586657795192,8.262913841306588,8.424575089439479,15.410207187861385
12.545803018029602,12.44667772334458,0.7155586885668304,0.6985526202202079,-0.6985526202202079,0.7155586885668304,-0.0013973633995191092,16.038566119130643,8.868884280510429,9.053039916928562,16.02447116617873
13.169528883562359,13.054825520604409,0.7164317973151297,0.6976571362752715,-0.6976571362752715,0.7164317973151297,-0.0014742216931295398,16.657814564938718,9.472666534028761,9.681243202186002,16.636984507180056
13.792733797265358,13.660907680423293,0.7173488414343239,0.696714173598351,-0.696714173598351,0.7173488414343239,-0.0015521439001283592,17.27630466525711,10.074163473251673,10.309162929273603,17.247651887594913
14.415393106795829,14.264828303702489,0.7183100094359745,0.6957231707684388,-0.6957231707684388,0.7183100094359745,-0.0016311906754692801,17.894008960638022,10.673278256522616,10.936777252953636,17.85637835088236
15.037482181393669,14.866491833358614,0.71931549766104,0.6946835357374253,-0.6946835357374253,0.71931549766104,-0.0017114241465601716,18.510899860080794,11.269914345053415,11.564064502706543,18.463069321663813
15.658976412855766,15.465803069443444,0.7203655101173411,0.693594645187939,-0.693594645187939,0.7203655101173411,-0.0017929079982118383,19.126949638795463,11.863975518856739,12.19100318691607,19.06763062003015
16.27985121650943,16.062667184207186,0.7214602583015336,0.6924558438568371,-0.6924558438568371,0.7214602583015336,-0.001875707560058004,19.742130435793616,12.455365892699518,12.817571997225246,19.669968475714853
16.90008203218491,16.65698973710288,0.7225999610043244,0.6912664438236162,-0.6912664438236162,0.7225999610043244,-0.001959889896564348,20.35641425130299,13.043989932081256,13.443749813066827,20.269989542124502
